pbid	count_fl	count_nfl	count_nfl_amb	abundance_fl	abundance_nfl	abundance_nfl_amb
PB.577.2	0	1	27.0	0.0	2.78657872224e-06	7.52376255005e-05
PB.3189.4	0	0	0.833333333333	0.0	0.0	2.3221489352e-06
PB.3189.2	6	9	9.83333333333	1.67194723335e-05	2.50792085002e-05	2.74013574354e-05
PB.3189.3	1	1	1.5	2.78657872224e-06	2.78657872224e-06	4.17986808336e-06
PB.7470.1	1	2	2	2.78657872224e-06	5.57315744448e-06	5.57315744448e-06
PB.3189.1	1	1	1.83333333333	2.78657872224e-06	2.78657872224e-06	5.10872765744e-06
PB.3742.3	1	2	5.09285714286	2.78657872224e-06	5.57315744448e-06	1.41916473497e-05
PB.3742.2	1	1	3.59285714286	2.78657872224e-06	2.78657872224e-06	1.00117792663e-05
PB.3742.1	1	5	6.64285714286	2.78657872224e-06	1.39328936112e-05	1.85108443692e-05
PB.6488.1	1	2	3.5	2.78657872224e-06	5.57315744448e-06	9.75302552785e-06
PB.3742.6	0	1	3.59285714286	0.0	2.78657872224e-06	1.00117792663e-05
PB.3742.5	0	0	2.59285714286	0.0	0.0	7.2252005441e-06
PB.3742.4	0	0	0.642857142857	0.0	0.0	1.79137203573e-06
PB.5555.5	0	1	1.75	0.0	2.78657872224e-06	4.87651276392e-06
PB.5555.3	2	3	4.41666666667	5.57315744448e-06	8.35973616673e-06	1.23073893566e-05
PB.5307.2	2	2	5.5	5.57315744448e-06	5.57315744448e-06	1.53261829723e-05
PB.240.2	1	4	5.5	2.78657872224e-06	1.1146314889e-05	1.53261829723e-05
PB.1280.1	0	1	1	0.0	2.78657872224e-06	2.78657872224e-06
PB.4086.1	2	3	3	5.57315744448e-06	8.35973616673e-06	8.35973616673e-06
PB.4689.1	1	3	3	2.78657872224e-06	8.35973616673e-06	8.35973616673e-06
PB.268.4	0	2	5.15	0.0	5.57315744448e-06	1.43508804195e-05
PB.4294.2	0	5	21.6666666667	0.0	1.39328936112e-05	6.03758723152e-05
PB.2476.1	24	35	36.0	6.68778893338e-05	9.75302552785e-05	0.000100316834001
PB.151.2	0	0	0.5	0.0	0.0	1.39328936112e-06
PB.3372.2	0	3	3.5	0.0	8.35973616673e-06	9.75302552785e-06
PB.250.1	1	2	3.33333333333	2.78657872224e-06	5.57315744448e-06	9.28859574081e-06
PB.3372.1	1	3	3.5	2.78657872224e-06	8.35973616673e-06	9.75302552785e-06
PB.5794.1	6	10	45.3968253968	1.67194723335e-05	2.78657872224e-05	0.000126501827708
PB.5794.2	3	3	17.8509018759	8.35973616673e-06	8.35973616673e-06	4.97429433402e-05
PB.5794.3	1	1	3.82702020202	2.78657872224e-06	2.78657872224e-06	1.06642930645e-05
PB.2975.8	4	4	4.8	1.1146314889e-05	1.1146314889e-05	1.33755778668e-05
PB.5794.5	0	0	4.49920634921	0.0	0.0	1.25373926797e-05
PB.5794.6	6	6	14.8842352092	1.67194723335e-05	1.67194723335e-05	4.14760931309e-05
PB.5794.7	0	0	0.809523809524	0.0	0.0	2.25580182277e-06
PB.2975.4	1	2	3.3	2.78657872224e-06	5.57315744448e-06	9.1957097834e-06
PB.2975.5	5	7	7.2	1.39328936112e-05	1.95060510557e-05	2.00633668001e-05
PB.2975.6	1	1	1.4	2.78657872224e-06	2.78657872224e-06	3.90121021114e-06
PB.2975.7	1	1	1.5	2.78657872224e-06	2.78657872224e-06	4.17986808336e-06
PB.268.5	0	0	1.28333333333	0.0	0.0	3.57610936021e-06
PB.2975.2	1	1	1.4	2.78657872224e-06	2.78657872224e-06	3.90121021114e-06
PB.2975.3	2	2	2.4	5.57315744448e-06	5.57315744448e-06	6.68778893338e-06
PB.6291.1	1	2	2	2.78657872224e-06	5.57315744448e-06	5.57315744448e-06
PB.5846.1	0	0	2.33333333333	0.0	0.0	6.50201701857e-06
PB.6006.3	1	1	1	2.78657872224e-06	2.78657872224e-06	2.78657872224e-06
PB.4094.1	3	42	42	8.35973616673e-06	0.000117036306334	0.000117036306334
PB.6006.1	4	4	4	1.1146314889e-05	1.1146314889e-05	1.1146314889e-05
PB.5575.2	0	0	4.5	0.0	0.0	1.25396042501e-05
PB.7336.3	0	1	2.58333333333	0.0	2.78657872224e-06	7.19866169913e-06
PB.3289.1	48	55	81.5666666667	0.000133755778668	0.000153261829723	0.000227291937778
PB.1591.2	15	16	22.5	4.17986808336e-05	4.45852595559e-05	6.26980212504e-05
PB.1591.1	1	3	9.5	2.78657872224e-06	8.35973616673e-06	2.64724978613e-05
PB.3289.2	3	3	23.9	8.35973616673e-06	8.35973616673e-06	6.65992314616e-05
PB.3289.5	0	1	10.4	0.0	2.78657872224e-06	2.89804187113e-05
PB.3289.4	1	2	20.9	2.78657872224e-06	5.57315744448e-06	5.82394952949e-05
PB.2969.1	0	2	2	0.0	5.57315744448e-06	5.57315744448e-06
PB.3925.1	1	1	1	2.78657872224e-06	2.78657872224e-06	2.78657872224e-06
PB.1362.3	0	3	7.83333333333	0.0	8.35973616673e-06	2.18281999909e-05
PB.6882.2	0	0	1.08333333333	0.0	0.0	3.01879361576e-06
PB.1362.1	29	38	42.8333333333	8.0810782945e-05	0.000105889991445	0.000119358455269
PB.4647.1	2	2	8.95952380952	5.57315744448e-06	5.57315744448e-06	2.4966418409e-05
PB.7823.1	11	26	26	3.06523659447e-05	7.24510467783e-05	7.24510467783e-05
PB.6882.4	0	0	1.58333333333	0.0	0.0	4.41208297688e-06
PB.3769.1	0	1	6.5	0.0	2.78657872224e-06	1.81127616946e-05
PB.5238.1	1	3	7.0	2.78657872224e-06	8.35973616673e-06	1.95060510557e-05
PB.609.1	8	15	15	2.22926297779e-05	4.17986808336e-05	4.17986808336e-05
PB.6690.1	0	1	1	0.0	2.78657872224e-06	2.78657872224e-06
PB.448.1	1	2	2.83333333333	2.78657872224e-06	5.57315744448e-06	7.89530637969e-06
PB.7217.1	1	1	1.5	2.78657872224e-06	2.78657872224e-06	4.17986808336e-06
PB.4992.1	1	4	4	2.78657872224e-06	1.1146314889e-05	1.1146314889e-05
