pbid	count_fl	count_nfl	count_nfl_amb	abundance_fl	abundance_nfl	abundance_nfl_amb
PB.577.2	1	1	17.3333333333	1.88965188833e-06	1.88965188833e-06	3.27539660644e-05
PB.5307.1	0	2	5.66666666667	0.0	3.77930377666e-06	1.07080273672e-05
PB.3189.4	3	3	3	5.66895566499e-06	5.66895566499e-06	5.66895566499e-06
PB.3189.2	2	4	4	3.77930377666e-06	7.55860755332e-06	7.55860755332e-06
PB.7470.1	1	1	1	1.88965188833e-06	1.88965188833e-06	1.88965188833e-06
PB.5575.2	0	0	0.5	0.0	0.0	9.44825944165e-07
PB.3742.3	0	0	1.11666666667	0.0	0.0	2.1101112753e-06
PB.3742.2	3	3	3.96666666667	5.66895566499e-06	5.66895566499e-06	7.49561915704e-06
PB.3742.1	1	2	3.76666666667	1.88965188833e-06	3.77930377666e-06	7.11768877937e-06
PB.6488.1	16	22	26.0	3.02344302133e-05	4.15723415432e-05	4.91309490966e-05
PB.3742.6	1	1	3.23333333333	1.88965188833e-06	1.88965188833e-06	6.10987443893e-06
PB.3742.5	1	1	3.3	1.88965188833e-06	1.88965188833e-06	6.23585123149e-06
PB.6488.2	1	1	5.0	1.88965188833e-06	1.88965188833e-06	9.44825944165e-06
PB.623.2	0	0	1.16666666667	0.0	0.0	2.20459386972e-06
PB.2113.4	0	0	2.28333333333	0.0	0.0	4.31470514502e-06
PB.5555.3	0	0	0.333333333333	0.0	0.0	6.29883962776e-07
PB.792.1	4	5	5	7.55860755332e-06	9.44825944165e-06	9.44825944165e-06
PB.5555.1	2	2	2.33333333333	3.77930377666e-06	3.77930377666e-06	4.40918773943e-06
PB.4086.1	8	10	10	1.51172151066e-05	1.88965188833e-05	1.88965188833e-05
PB.4689.1	4	5	5	7.55860755332e-06	9.44825944165e-06	9.44825944165e-06
PB.268.4	0	0	0.833333333333	0.0	0.0	1.57470990694e-06
PB.2476.2	1	1	1	1.88965188833e-06	1.88965188833e-06	1.88965188833e-06
PB.2476.1	36	53	53	6.80274679798e-05	0.000100151550081	0.000100151550081
PB.250.1	3	6	6.83333333333	5.66895566499e-06	1.133791133e-05	1.29126212369e-05
PB.3372.1	0	1	1	0.0	1.88965188833e-06	1.88965188833e-06
PB.5794.1	17	35	57.4555555556	3.21240821016e-05	6.61378160915e-05	0.000108570999051
PB.5794.2	16	18	31.4956349206	3.02344302133e-05	3.40137339899e-05	5.95157860019e-05
PB.5794.3	0	1	5.54880952381	0.0	1.88965188833e-06	1.04853183946e-05
PB.2975.8	21	24	28.35	3.96826896549e-05	4.53516453199e-05	5.35716310341e-05
PB.2975.9	1	1	2.25	1.88965188833e-06	1.88965188833e-06	4.25171674874e-06
PB.5794.6	16	16	25.678968254	3.02344302133e-05	3.02344302133e-05	4.85243108515e-05
PB.5794.7	1	1	1.23611111111	1.88965188833e-06	1.88965188833e-06	2.3358196953e-06
PB.5794.8	1	1	1	1.88965188833e-06	1.88965188833e-06	1.88965188833e-06
PB.5575.1	10	21	21.5	1.88965188833e-05	3.96826896549e-05	4.06275155991e-05
PB.2975.6	4	6	7.43333333333	7.55860755332e-06	1.133791133e-05	1.40464123699e-05
PB.2975.7	6	6	8.56666666667	1.133791133e-05	1.133791133e-05	1.61880178434e-05
PB.268.5	1	2	2.58333333333	1.88965188833e-06	3.77930377666e-06	4.88160071152e-06
PB.2975.2	2	2	3.93333333333	3.77930377666e-06	3.77930377666e-06	7.43263076076e-06
PB.2975.3	13	13	18.35	2.45654745483e-05	2.45654745483e-05	3.46751121508e-05
PB.6291.1	5	8	8	9.44825944165e-06	1.51172151066e-05	1.51172151066e-05
PB.5846.1	0	1	1	0.0	1.88965188833e-06	1.88965188833e-06
PB.6006.3	2	2	2	3.77930377666e-06	3.77930377666e-06	3.77930377666e-06
PB.4094.1	6	19	19	1.133791133e-05	3.59033858783e-05	3.59033858783e-05
PB.6006.1	2	2	3.0	3.77930377666e-06	3.77930377666e-06	5.66895566499e-06
PB.5569.1	8	8	8	1.51172151066e-05	1.51172151066e-05	1.51172151066e-05
PB.3289.1	4	5	5.5	7.55860755332e-06	9.44825944165e-06	1.03930853858e-05
PB.1591.2	16	16	22.0	3.02344302133e-05	3.02344302133e-05	4.15723415432e-05
PB.1591.1	3	8	14.0	5.66895566499e-06	1.51172151066e-05	2.64551264366e-05
PB.3082.1	9	17	17	1.7006866995e-05	3.21240821016e-05	3.21240821016e-05
PB.5549.1	2	4	4	3.77930377666e-06	7.55860755332e-06	7.55860755332e-06
PB.2969.1	0	1	1	0.0	1.88965188833e-06	1.88965188833e-06
PB.6101.2	0	0	0.916666666667	0.0	0.0	1.73218089764e-06
PB.3925.1	5	6	6	9.44825944165e-06	1.133791133e-05	1.133791133e-05
PB.1362.3	0	3	8.0	0.0	5.66895566499e-06	1.51172151066e-05
PB.6882.2	0	1	1.83333333333	0.0	1.88965188833e-06	3.46436179527e-06
PB.1362.1	41	51	56.0	7.74757274215e-05	9.63722463048e-05	0.000105820505746
PB.4647.1	0	0	4.25	0.0	0.0	8.0310205254e-06
PB.7791.1	0	1	1	0.0	1.88965188833e-06	1.88965188833e-06
PB.6882.4	0	0	0.5	0.0	0.0	9.44825944165e-07
PB.7721.2	0	0	2.16666666667	0.0	0.0	4.09424575805e-06
PB.5238.1	1	2	5.0	1.88965188833e-06	3.77930377666e-06	9.44825944165e-06
PB.609.1	7	13	13	1.32275632183e-05	2.45654745483e-05	2.45654745483e-05
PB.6690.1	1	2	2	1.88965188833e-06	3.77930377666e-06	3.77930377666e-06
PB.3742.4	0	0	1.26666666667	0.0	0.0	2.39355905855e-06
PB.7217.1	1	1	1	1.88965188833e-06	1.88965188833e-06	1.88965188833e-06
PB.3711.4	0	1	1.2	0.0	1.88965188833e-06	2.26758226599e-06
PB.4992.1	1	3	3	1.88965188833e-06	5.66895566499e-06	5.66895566499e-06
PB.4534.1	26	45	45	4.91309490966e-05	8.50343349748e-05	8.50343349748e-05
PB.2567.1	2	3	4.0	3.77930377666e-06	5.66895566499e-06	7.55860755332e-06
PB.6038.1	16	20	22.5	3.02344302133e-05	3.77930377666e-05	4.25171674874e-05
PB.6038.2	0	3	5.5	0.0	5.66895566499e-06	1.03930853858e-05
PB.2567.2	0	0	1.0	0.0	0.0	1.88965188833e-06
PB.832.1	4	4	4	7.55860755332e-06	7.55860755332e-06	7.55860755332e-06
PB.5253.1	1	2	4.66666666667	1.88965188833e-06	3.77930377666e-06	8.81837547887e-06
PB.6285.2	8	8	9.0	1.51172151066e-05	1.51172151066e-05	1.7006866995e-05
PB.6285.3	0	1	1	0.0	1.88965188833e-06	1.88965188833e-06
PB.5058.1	1	1	1	1.88965188833e-06	1.88965188833e-06	1.88965188833e-06
PB.6285.1	1	1	2.0	1.88965188833e-06	1.88965188833e-06	3.77930377666e-06
PB.6285.4	1	1	1.5	1.88965188833e-06	1.88965188833e-06	2.83447783249e-06
PB.6285.5	0	3	4.5	0.0	5.66895566499e-06	8.50343349748e-06
PB.7207.1	1	2	2	1.88965188833e-06	3.77930377666e-06	3.77930377666e-06
PB.5689.3	1	1	2.5	1.88965188833e-06	1.88965188833e-06	4.72412972082e-06
PB.3806.1	5	5	6.0	9.44825944165e-06	9.44825944165e-06	1.133791133e-05
PB.3806.2	1	1	2.0	1.88965188833e-06	1.88965188833e-06	3.77930377666e-06
PB.3806.3	1	2	2	1.88965188833e-06	3.77930377666e-06	3.77930377666e-06
PB.4597.3	0	0	0.916666666667	0.0	0.0	1.73218089764e-06
PB.3951.1	3	5	6.81666666667	5.66895566499e-06	9.44825944165e-06	1.28811270388e-05
PB.4693.4	0	0	0.833333333333	0.0	0.0	1.57470990694e-06
PB.4693.1	44	51	53.3333333333	8.31446830865e-05	9.63722463048e-05	0.000100781434044
PB.4693.3	1	1	1.83333333333	1.88965188833e-06	1.88965188833e-06	3.46436179527e-06
PB.2070.1	40	53	67.5	7.55860755332e-05	0.000100151550081	0.000127551502462
PB.3094.1	0	1	2.48333333333	0.0	1.88965188833e-06	4.69263552268e-06
PB.2070.2	3	3	12.0	5.66895566499e-06	5.66895566499e-06	2.26758226599e-05
PB.5555.2	4	7	7.33333333333	7.55860755332e-06	1.32275632183e-05	1.38574471811e-05
PB.947.1	5	6	6.5	9.44825944165e-06	1.133791133e-05	1.22827372741e-05
