NSC	NSC	OLD	OLD
PB.1.1	7275	3602	3707	3485
PB.10.1	368.1	201.88	2023.06	2115.76
PB.10.2	327.55	335.98	1563.09	1295.35
PB.10.3	42.35	11.14	20.84	35.89
PB.100.1	1017	762	1550	1431
PB.1000.1	9757.59	6274.86	19763.77	18060.74
PB.1000.2	10918.9	8408.47	26656.52	29812.44
PB.1000.3	35.43	44.49	213.06	156.72
PB.1000.4	790.3	152.81	552.08	612.47
PB.1000.5	21.28	107.84	438.29	630.34
PB.1000.6	130.06	213.17	62.48	200.22
PB.1000.7	144.32	89.82	163.92	107.36
PB.1000.8	324.08	1745.69	7233.3	2849.24
PB.1000.9	1161.06	806.84	1205.59	1913.47
PB.1001.1	25625	13137	53854	55852
PB.1002.1	10202.08	10395.71	17924.66	17679.65
PB.1002.2	22261.92	17222.29	26390.34	26246.35
PB.1003.1	4161.18	3793.74	2063.93	2299.94
PB.1003.2	8916.82	6257.26	2586.07	2200.06
PB.1004.1	368.41	136.71	2824.84	3973.89
PB.1004.2	30.2	10.43	350.75	412.33
PB.1004.3	55.74	49.14	3463.47	2259.02
PB.1004.4	84.56	43.09	2106.79	1818.32
PB.1004.5	24.1	17.64	324.15	239.44
PB.1005.1	7228.6	3471.98	3333.39	3558.58
PB.1005.2	122.05	106.34	276.3	223.78
PB.1005.3	953.35	741.68	630.31	712.63
PB.1006.1	1890.65	1446.53	962.95	918.04
PB.1006.2	6735.91	5659.71	3538.76	3605.22
PB.1006.3	387.11	253.14	178.52	144.31
PB.1006.4	692.13	282.7	47.07	19.9
PB.1006.5	123.63	68.56	50.72	100.78
PB.1006.6	41.57	32.35	33.97	30.75
PB.1007.1	7889	5211	4191	4236
PB.1008.1	11188.71	6657.07	7570.69	7402.52
PB.1008.2	309.01	91.01	515.92	485.95
PB.1008.3	83.46	61.6	427.59	335.21
PB.1008.4	36.32	53.37	33.43	33.81
PB.1008.5	349.49	695.95	428.37	700.51
PB.1009.1	654.84	443.15	176.65	122.32
PB.1009.2	172.16	184.85	71.35	84.68
PB.101.1	66343.21	34098.95	30321.24	26419.58
PB.101.2	10562.11	3722.19	1123.26	2025.88
PB.101.3	5917.52	3120.84	1422.65	1605.75
PB.101.4	18.57	10.36	10.16	8.62
PB.101.5	14.93	22.62	25.88	14.53
PB.101.6	9	9.13	12.25	9.91
PB.101.7	456.67	226.9	217.56	129.74
PB.1010.1	178	61	1866	1881
PB.1011.1	1485	1128.51	1504.03	1186.69
PB.1011.2	1524.13	1059.46	728.26	893.15
PB.1011.3	413.82	139.74	275.5	286.94
PB.1011.4	141.86	92.17	167.41	249.97
PB.1011.5	29.99	25.59	35	40.66
PB.1011.6	496.71	290.41	116.67	165.95
PB.1011.7	64.49	120.13	59.13	124.65
PB.1012.1	563	303	484.33	397
PB.1013.1	354.26	327.84	563.52	447.58
PB.1013.2	1047.74	420.16	869.48	867.42
