pbid	count_fl	count_nfl	count_nfl_amb	abundance_fl	abundance_nfl	abundance_nfl_amb
PB.577.2	0	0	14.0	0.0	0.0	2.43995106155e-05
PB.3189.4	0	0	0.25	0.0	0.0	4.35705546706e-07
PB.3189.2	12	14	14.25	2.09138662419e-05	2.43995106155e-05	2.48352161622e-05
PB.3189.3	0	0	0.25	0.0	0.0	4.35705546706e-07
PB.7470.1	1	1	1	1.74282218682e-06	1.74282218682e-06	1.74282218682e-06
PB.5575.2	0	0	1.5	0.0	0.0	2.61423328024e-06
PB.3742.3	0	1	2.09285714286	0.0	1.74282218682e-06	3.64747786242e-06
PB.3742.2	0	0	1.42619047619	0.0	0.0	2.48559640454e-06
PB.3742.1	1	2	2.64285714286	1.74282218682e-06	3.48564437365e-06	4.60603006518e-06
PB.6488.1	8	9	12.75	1.39425774946e-05	1.56853996814e-05	2.2220982882e-05
PB.3742.6	0	1	2.09285714286	0.0	1.74282218682e-06	3.64747786242e-06
PB.3742.5	0	0	0.92619047619	0.0	0.0	1.61418531113e-06
PB.3742.4	1	1	1.14285714286	1.74282218682e-06	1.74282218682e-06	1.99179678494e-06
PB.623.2	0	0	0.5	0.0	0.0	8.71411093412e-07
PB.5555.5	0	1	2.56666666667	0.0	1.74282218682e-06	4.47324361285e-06
PB.5555.4	1	1	1.65	1.74282218682e-06	1.74282218682e-06	2.87565660826e-06
PB.5555.3	0	0	1.31666666667	0.0	0.0	2.29471587932e-06
PB.240.1	3	3	4.5	5.22846656047e-06	5.22846656047e-06	7.84269984071e-06
PB.240.2	2	3	4.5	3.48564437365e-06	5.22846656047e-06	7.84269984071e-06
PB.1280.1	2	3	3	3.48564437365e-06	5.22846656047e-06	5.22846656047e-06
PB.4086.1	2	3	3	3.48564437365e-06	5.22846656047e-06	5.22846656047e-06
PB.4689.1	0	3	3	0.0	5.22846656047e-06	5.22846656047e-06
PB.4294.2	1	6	29.8333333333	1.74282218682e-06	1.04569331209e-05	5.19941952402e-05
PB.2476.1	46	58	60.5	8.01698205939e-05	0.000101083686836	0.000105440742303
PB.3372.2	1	7	9.0	1.74282218682e-06	1.21997553078e-05	1.56853996814e-05
PB.250.1	5	5	6.33333333333	8.71411093412e-06	8.71411093412e-06	1.10378738499e-05
PB.3541.3	2	2	29.6666666667	3.48564437365e-06	3.48564437365e-06	5.17037248758e-05
PB.5794.1	14	39	88.7305555556	2.43995106155e-05	6.79700652861e-05	0.000154641580871
PB.5794.2	5	6	23.1167027417	8.71411093412e-06	1.04569331209e-05	4.02883024244e-05
PB.5794.3	0	2	6.22142857143	0.0	3.48564437365e-06	1.0842843748e-05
PB.2975.8	11	12	13.9166666667	1.91710440551e-05	2.09138662419e-05	2.42542754333e-05
PB.5794.5	0	0	2.73174603175	0.0	0.0	4.76094759289e-06
PB.5794.6	5	5	21.6547979798	8.71411093412e-06	8.71411093412e-06	3.77404623704e-05
PB.5794.7	1	3	4.7123015873	1.74282218682e-06	5.22846656047e-06	8.21270375735e-06
PB.5794.8	1	1	1	1.74282218682e-06	1.74282218682e-06	1.74282218682e-06
PB.2975.5	21	25	27.05	3.65992659233e-05	4.35705546706e-05	4.71433401536e-05
PB.2975.6	2	2	2.4	3.48564437365e-06	3.48564437365e-06	4.18277324838e-06
PB.2975.7	1	1	1.9	1.74282218682e-06	1.74282218682e-06	3.31136215496e-06
PB.268.5	0	0	2.36666666667	0.0	0.0	4.12467917548e-06
PB.2975.2	0	0	1.68333333333	0.0	0.0	2.93375068115e-06
PB.2975.3	1	1	1.9	1.74282218682e-06	1.74282218682e-06	3.31136215496e-06
PB.5846.1	0	0	2.83333333333	0.0	0.0	4.937996196e-06
PB.6006.3	1	1	1.83333333333	1.74282218682e-06	1.74282218682e-06	3.19517400918e-06
PB.4094.1	16	65	65.5	2.78851549892e-05	0.000113283442144	0.000114154853237
PB.6006.1	2	2	2.33333333333	3.48564437365e-06	3.48564437365e-06	4.06658510259e-06
PB.3189.1	0	0	0.25	0.0	0.0	4.35705546706e-07
PB.5569.1	1	2	2	1.74282218682e-06	3.48564437365e-06	3.48564437365e-06
PB.3289.1	72	80	94.9666666667	0.000125483197451	0.000139425774946	0.000165510013675
PB.6903.2	3	5	6.5	5.22846656047e-06	8.71411093412e-06	1.13283442144e-05
PB.1591.1	2	18	35.0	3.48564437365e-06	3.13707993628e-05	6.09987765388e-05
PB.3289.2	2	4	16.1333333333	3.48564437365e-06	6.97128874729e-06	2.81175312808e-05
PB.3289.5	1	1	5.8	1.74282218682e-06	1.74282218682e-06	1.01083686836e-05
PB.3082.1	10	14	14	1.74282218682e-05	2.43995106155e-05	2.43995106155e-05
PB.5549.1	0	0	0.333333333333	0.0	0.0	5.80940728941e-07
PB.2969.1	1	4	4	1.74282218682e-06	6.97128874729e-06	6.97128874729e-06
PB.6101.2	2	2	5.33333333333	3.48564437365e-06	3.48564437365e-06	9.29505166306e-06
PB.3925.1	1	3	3	1.74282218682e-06	5.22846656047e-06	5.22846656047e-06
PB.1362.3	1	6	11.8333333333	1.74282218682e-06	1.04569331209e-05	2.06233958774e-05
PB.6882.2	1	1	1.83333333333	1.74282218682e-06	1.74282218682e-06	3.19517400918e-06
PB.1362.1	46	57	62.6666666667	8.01698205939e-05	9.93408646489e-05	0.000109216857041
PB.4824.2	0	1	2.5	0.0	1.74282218682e-06	4.35705546706e-06
PB.7823.1	5	13	13	8.71411093412e-06	2.26566884287e-05	2.26566884287e-05
PB.6882.4	1	1	1	1.74282218682e-06	1.74282218682e-06	1.74282218682e-06
PB.5238.1	1	1	3.0	1.74282218682e-06	1.74282218682e-06	5.22846656047e-06
PB.609.1	10	12	12	1.74282218682e-05	2.09138662419e-05	2.09138662419e-05
PB.6690.1	1	5	7.5	1.74282218682e-06	8.71411093412e-06	1.30711664012e-05
PB.6488.2	1	1	4.0	1.74282218682e-06	1.74282218682e-06	6.97128874729e-06
PB.7217.1	2	2	2	3.48564437365e-06	3.48564437365e-06	3.48564437365e-06
PB.4992.1	2	2	2	3.48564437365e-06	3.48564437365e-06	3.48564437365e-06
PB.4534.1	20	23	23	3.48564437365e-05	4.00849102969e-05	4.00849102969e-05
PB.2567.1	5	12	15.5	8.71411093412e-06	2.09138662419e-05	2.70137438958e-05
PB.6038.1	9	13	14.5	1.56853996814e-05	2.26566884287e-05	2.52709217089e-05
PB.6038.2	1	3	4.5	1.74282218682e-06	5.22846656047e-06	7.84269984071e-06
PB.2567.2	14	15	18.0	2.43995106155e-05	2.61423328024e-05	3.13707993628e-05
PB.5253.1	0	3	5.66666666667	0.0	5.22846656047e-06	9.875992392e-06
PB.6285.2	24	24	27.1666666667	4.18277324838e-05	4.18277324838e-05	4.73466694087e-05
PB.6285.3	0	0	2.33333333333	0.0	0.0	4.06658510259e-06
PB.5058.1	1	2	2	1.74282218682e-06	3.48564437365e-06	3.48564437365e-06
PB.3476.2	1	1	11.2666666667	1.74282218682e-06	1.74282218682e-06	1.96357966382e-05
PB.6285.4	1	1	1.83333333333	1.74282218682e-06	1.74282218682e-06	3.19517400918e-06
PB.6285.5	1	11	11.8333333333	1.74282218682e-06	1.91710440551e-05	2.06233958774e-05
PB.80.1	0	0	0.666666666667	0.0	0.0	1.16188145788e-06
PB.7207.1	1	1	1	1.74282218682e-06	1.74282218682e-06	1.74282218682e-06
PB.5689.3	0	0	0.333333333333	0.0	0.0	5.80940728941e-07
PB.3806.1	7	10	10	1.21997553078e-05	1.74282218682e-05	1.74282218682e-05
PB.5689.1	9	14	14.3333333333	1.56853996814e-05	2.43995106155e-05	2.49804513445e-05
PB.3806.3	1	1	1	1.74282218682e-06	1.74282218682e-06	1.74282218682e-06
PB.3479.5	0	0	0.5	0.0	0.0	8.71411093412e-07
PB.4465.1	0	0	23.1666666667	0.0	0.0	4.03753806614e-05
PB.4693.4	2	2	2.33333333333	3.48564437365e-06	3.48564437365e-06	4.06658510259e-06
PB.4693.1	36	50	51.8333333333	6.27415987256e-05	8.71411093412e-05	9.03362833504e-05
PB.4693.3	0	0	1.33333333333	0.0	0.0	2.32376291576e-06
PB.4693.2	1	1	1.5	1.74282218682e-06	1.74282218682e-06	2.61423328024e-06
PB.5870.1	0	4	5.0	0.0	6.97128874729e-06	8.71411093412e-06
PB.5555.2	7	11	13.0666666667	1.21997553078e-05	1.91710440551e-05	2.27728765745e-05
PB.2084.1	78	120	120	0.000135940130572	0.000209138662419	0.000209138662419
PB.216.1	1	3	3	1.74282218682e-06	5.22846656047e-06	5.22846656047e-06
PB.4294.4	7	7	15.8333333333	1.21997553078e-05	1.21997553078e-05	2.75946846247e-05
PB.3712.1	26	37	40.5	4.53133768574e-05	6.44844209125e-05	7.05842985664e-05
