NSC1	NSC2	OLD1	OLD2
PB.1450.3	1319.96	846.59	705.44	831.9
PB.2598.1	293.65	413.21	18.65	15.33
PB.2599.1	4283.82	3029.28	2535.49	2346.04
PB.2600.1	261.17	176.72	247.51	216.96
PB.2601.1	530	451	281	230
PB.2602.1	294.33	158.79	136.42	189.24
PB.2602.2	158.56	45.95	449.02	187.17
PB.2602.3	320.17	331.83	188.39	173.1
PB.2602.4	6478.69	4339.86	4677.73	4467.89
PB.2602.5	44.25	30.75	60.57	20.43
PB.2602.6	185.09	124.96	161.88	96.16
PB.2602.7	284.89	239.44	333.28	280.67
PB.2603.1	1871.02	952.42	2619.71	2511.34
PB.2604.1	22515.79	9202.64	14040.34	12570.15
PB.2604.2	146.36	67.58	38.9	30.65
PB.2604.3	683.85	229.78	436.76	623.2
PB.2605.1	8604	7486	5831	5589
PB.2606.1	1426	1059	680	613
PB.2607.1	2839.75	1484.74	3125.13	3139.38
PB.2607.2	61.25	30.26	84.87	68.62
PB.2608.1	73.45	11.84	58.2	43.81
PB.2608.2	34.47	67.75	174.75	87.02
PB.2608.3	510.62	364.38	596.55	532.96
PB.2608.4	2491.45	1037.04	2352.49	1962.21
PB.2609.1	3687	3681	593	636
PB.2610.1	6921.3	3869.98	3905.36	3943.66
PB.2610.2	262.65	217.63	329.94	406.17
PB.2610.3	126.26	173.24	288.7	408.93
PB.2610.4	207.82	96.84	431.22	262.58
PB.2611.1	970.13	1313.26	63.95	197.08
PB.2611.2	1551.3	149.71	1629.86	1276.66
PB.2611.3	3907.16	2131.08	2843.21	1866.81
PB.2611.4	5392.51	1401.94	2834.14	3247.75
PB.2611.5	15.35	16.24	25.24	19.36
PB.2611.6	5356.35	4798.95	3497.82	3578.46
PB.2611.7	1342.32	955.89	1886.06	1616.96
PB.2611.8	72.29	161.5	58.51	39.54
PB.2611.9	602.1	286.81	407	361.05
PB.2612.1	250.43	202.02	568.83	397.98
PB.2612.2	5647.51	2907.11	4803.24	4643.16
PB.2612.3	199.11	196.63	163.68	132.26
PB.2612.4	5548.94	3838.51	4005.68	4958.51
PB.2612.5	2197.75	1751.86	4413.64	3777.62
PB.2612.6	85.5	41.52	39.31	53.36
PB.2612.7	31.5	50.58	51.43	73.47
PB.2612.8	1345.6	671.56	744.05	912.51
PB.2613.1	7041.05	4131.43	4017.16	4214.64
PB.2613.2	371.61	377.79	138.99	167.49
PB.2614.1	1371	1144	1372	1177
PB.2615.1	2574	2122	3446	3596
PB.2616.1	208.8	76.22	190.98	166.09
PB.2616.2	781.48	318.65	515.96	480.75
PB.2616.3	5544.2	3131.74	2398.93	2225.89
PB.2616.4	8939.03	3123.28	5772.41	5654.55
PB.2616.5	5.18	5.7	9.3	7.72
PB.2616.6	924.06	795.41	644.41	465.53
PB.2616.7	3568.03	4964.72	2056.94	1844.42
PB.2616.8	934.22	96.27	50.07	53.05
PB.2617.1	1361	1121	390	403
PB.2618.1	395.83	316.48	331.91	311.81
PB.2618.2	909.17	774.52	1185.09	984.19
PB.2619.1	2313.87	762.08	2188.52	2452.06
PB.2619.2	975.13	446.92	1018.48	955.94
PB.2620.1	3505.23	1253.4	1277.05	1420.59
PB.2620.2	755.77	533.6	395.95	353.41
PB.2621.1	1735.32	3076.8	4148.73	5387.22
PB.2621.2	2473.25	1806.08	22014.57	19209.17
PB.2621.3	1062.3	1224.68	5845.05	5741.48
PB.2621.4	37.82	31.33	50.82	61.22
PB.2621.5	183.32	357.11	926.83	937.92
PB.2622.1	1071.78	625.26	363.98	381.22
PB.2622.2	1134.35	961.42	668.5	599.41
PB.2622.3	1775.86	1089.32	870.52	903.37
PB.2623.1	2721.84	3248.05	2999.96	2612.23
PB.2623.2	1365.16	907.95	468.04	876.77
PB.2624.1	189.22	191.96	836.51	315.27
PB.2624.2	13.18	8.36	17.61	17.68
PB.2624.3	51.45	26.56	50.01	34.23
PB.2624.4	98.9	23.35	103.08	204.82
PB.2624.5	4113.73	2648.98	1031.99	1261.25
PB.2624.6	18746.01	7957.67	14594.63	14222.2
PB.2624.7	9.51	8.12	163.17	62.55
PB.2625.1	1804	1545	790	668
PB.2626.1	1196	640	1345	1227
PB.2627.1	10479.99	2352.35	3174	3224.48
PB.2627.2	2760.07	616.91	732.05	323.8
PB.2628.1	14.94	7.74	188.95	115.72
PB.2629.1	500.38	130.35	796.44	747.03
PB.2629.2	1068.28	405.94	2398.76	2462.52
PB.2629.3	1482.8	490.5	1567.76	1558.16
PB.2629.4	193.79	124.68	260.26	245.91
PB.2629.5	132.74	173.54	144.78	93.38
PB.2630.1	6467	3404	1109	1074
PB.2631.1	4017.69	2801.71	3022.55	2458.56
PB.2631.2	613.45	244.85	156.92	196.88
PB.2631.3	1095.33	508.61	465.61	404.26
PB.2632.1	17904	12785	8729	7593
PB.2633.1	1459	1004	443	439
PB.2634.1	1184.75	889.62	626.9	879.59
PB.2634.2	5049.35	3494.49	3664.53	2930.88
PB.2634.3	324.9	201.89	536.57	449.53
PB.2635.1	1747	1283	1536	1291
PB.2636.1	201	124	118	139
PB.2636.2	199	139	158	146
PB.2637.1	2172.48	1135.17	1423.29	1882.78
PB.2637.2	2707.52	1448.83	2858.72	2070.22
PB.2638.1	2004.74	1289.88	1809.09	1950.69
PB.2638.2	1565.27	909.76	1745.83	1717.47
PB.2638.3	2754.2	2023.74	2682.56	2359.31
PB.2638.4	237.08	285.21	118.33	104.85
PB.2638.5	112.26	47.76	101.74	91.66
PB.2639.1	12.46	37.65	14.44	19.01
PB.2640.1	185	136	242	214
PB.2641.1	18622	15667	13564	12954
PB.2642.1	5052.27	3450.77	3211.24	2930.4
PB.2642.2	266.32	225.41	157.75	181.75
PB.2643.1	1219.54	931.78	2525.78	2016.66
PB.2643.2	1371.63	786.55	682.99	1101.69
PB.2643.3	526.98	743.27	937.24	1039.82
PB.2643.4	734.52	727.14	608.48	411.25
PB.2643.5	81.59	88.68	166.1	104.84
PB.2643.6	152.16	106.39	134.41	151.6
PB.2644.1	143.99	50.52	243.34	335.29
PB.2644.2	362.86	152.4	1119.39	936.08
PB.2644.3	107.15	43.08	376.27	336.63
PB.2645.1	3734.5	2402.8	5866.8	5856.44
PB.2645.2	165.5	88.2	226.2	147.56
PB.2646.1	1889.5	1231.56	253.17	608.82
PB.2646.2	11960.91	8359.24	6526.38	5585.19
PB.2646.3	954.73	638.63	293	274.37
PB.2646.4	33.35	29.87	41.92	37.21
PB.2646.5	806.51	688.71	666.54	777.41
PB.2647.1	6043.82	2727.59	3025.84	3202.32
PB.2647.2	2920.2	2005.68	1641.84	1500.47
PB.2647.3	411.74	760.42	798.69	595.33
PB.2647.4	327.19	178.22	22.06	81.17
PB.2647.5	359.13	124.1	175.58	132.71
PB.2648.1	2417	700	2383	2408
PB.2649.1	564.51	344.58	222.36	176.78
PB.2649.2	7912.49	5990.42	4218.64	3739.22
PB.2650.1	15693.82	13034.91	3188.15	2876.71
PB.2650.2	348.12	431.1	59.3	16.77
PB.2650.3	3469.05	2226.99	178.56	389.52
PB.2651.1	192	156	155	148
PB.2652.1	5078.14	2372.98	2065.46	2098.5
PB.2652.2	77.86	14.02	96.54	42.5
PB.2653.1	4522.36	537.73	1795.44	1564.1
PB.2653.10	52.01	58.37	164.16	164.11
PB.2653.2	670.05	1065.81	1140.12	1632
PB.2653.3	581.21	347.58	383.25	507.85
PB.2653.4	102.68	75.88	78.71	89.4
PB.2653.5	2512.65	2746.81	3563.77	2747.19
PB.2653.6	64.48	80.77	240.19	193.67
