isoform	chrom	strand	length	exons	structuralCategory	associatedGene	associatedTranscript	refLength	refExons	diffToTSS	diffToTTS	subCategory	RTS_stage	AllCanonical	Min_sample_cov	MinCov	MinCovPos	sdCov	FL	nIndels	nIndelsJunc	bite	isoExp	geneExp	ratioExp	FSM_class	coding	ORFlength	CDSlength	CDSstart	CDSend	predit
PB.3189.4	chr17	+	1399	6	full-splice_match	Qpct	XM_006524897	1711	6	260	52	no_subtype	FALSE	canonical	6	33	132	206.327409716	3	0	0	FALSE	62.8025	2659.2525	0.0236165990255	C	coding	313	939	10	948	Pred_NEG
PB.3189.2	chr17	+	1713	7	full-splice_match	Qpct	NM_027455	1924	7	346	-135	no_subtype	FALSE	canonical	8	334	840	102.674242145	20	1	0	FALSE	383.7575	2659.2525	0.144310290204	C	coding	362	1086	15	1100	Pred_POS
PB.3189.3	chr17	+	1446	7	novel_not_in_catalog	Qpct	novel	NA	NA	NA	NA	no_subtype	FALSE	non_canonical	0	0	245	201.871246095	1	3	1	TRUE	927.865	2659.2525	0.348919480192	C	coding	195	585	467	1051	Pred_NEG
PB.2110.1	chr14	-	5426	29	novel_not_in_catalog	Ankrd28	novel	NA	NA	NA	NA	no_subtype	FALSE	canonical	7	88	246	112.026782512	4	2	0	TRUE	1222.5	1222.5	1	A	coding	899	2697	733	3429	Pred_POS
PB.3189.1	chr17	+	1521	7	novel_not_in_catalog	Qpct	novel	NA	NA	NA	NA	no_subtype	FALSE	canonical	7	12	149	207.031398585	1	0	0	FALSE	1284.8275	2659.2525	0.483153630579	C	coding	348	1044	27	1070	Pred_NEG
PB.3742.3	chr2	+	1440	9	novel_not_in_catalog	Acbd5	novel	NA	NA	NA	NA	no_subtype	FALSE	canonical	1	1	986	268.700576851	1	3	1	FALSE	44.685	5206.2525	0.00858294905981	C	coding	303	1068	3	1070	Pred_NEG
PB.3742.2	chr2	+	3550	13	full-splice_match	Acbd5	ENSMUST00000114523	3594	13	37	7	no_subtype	FALSE	canonical	10	159	49	189.644404083	5	1	0	FALSE	3281.1625	5206.2525	0.630234991484	C	coding	473	1560	2	1561	Pred_POS
PB.3742.1	chr2	+	3111	12	novel_in_catalog	Acbd5	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	10	77	317	232.480106676	3	13	0	FALSE	607.0225	5206.2525	0.116594901995	C	coding	399	1197	343	1539	Pred_POS
PB.3742.7	chr2	+	2390	12	novel_in_catalog	Acbd5	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	16	306	1234	174.473493689	2	0	0	FALSE	526.1575	5206.2525	0.101062616537	C	coding	472	1416	181	1596	Pred_POS
PB.3742.6	chr2	+	1155	9	incomplete-splice_match	Acbd5	ENSMUST00000114526	3720	13	89	2476	3prime_fragment	FALSE	canonical	17	215	128	206.257121089	1	0	0	FALSE	255.3925	5206.2525	0.049054958437	C	coding	347	1149	3	1151	Pred_NEG
