isoform	chrom	strand	length	exons	structural_category	associated_gene	associated_transcript	ref_length	ref_exons	diff_to_TSS	diff_to_TTS	subcategory	RTS_stage	all_canonical	min_sample_cov	min_cov	min_cov_pos	sd_cov	FL	n_indels	n_indels_junc	bite	iso_exp	gene_exp	ratio_exp	FSM_class	coding	ORF_length	CDS_length	CDS_start	CDS_end	perc_A_downstream_TTS
PB.2682.1	chr16	+	1665	1	incomplete-splice_match	Klhl24	XR_875857	8172	9	6494	14	mono-exon	FALSE	canonical	NA	NA	NA	NA	1	0	NA	FALSE	469.7725	2755.7775	0.170468225392	C	non_coding	NA	NA	NA	NA	40.0
PB.2670.1	chr16	-	2789	10	full-splice_match	Dgcr14	ENSMUST00000003621	2819	10	28	2	multi-exon	FALSE	canonical	4	115	849	66.2495283002	24	0	0	FALSE	2178.0	2178.0	1.0	A	coding	480	1440	16	1455	30.0
PB.2672.1	chr16	-	3197	12	novel_in_catalog	Dgcr8	novel	NA	NA	NA	NA	combination_of_known_junctions	TRUE	canonical	4	8	1194	19.3390796058	2	2	0	FALSE	779.3	1003.0	0.776969092722	B	coding	511	1533	92	1624	10.0
PB.2672.2	chr16	-	2634	13	incomplete-splice_match	Dgcr8	NM_033324	4226	14	614	978	5prime_fragment	FALSE	canonical	4	8	1621	18.6815416923	1	0	0	FALSE	223.7	1003.0	0.223030907278	B	coding	511	1533	519	2051	35.0
PB.2779.1	chr16	+	1894	2	incomplete-splice_match	Zbtb20	ENSMUST00000114690	2759	5	809	56	internal_fragment	FALSE	canonical	4	168	1145	NA	1	0	0	FALSE	75.5775	6027.5025	0.0125387753883	C	coding	490	1470	95	1564	85.0
PB.2845.1	chr16	+	1526	4	novel_in_catalog	Son	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	4	46	439	12.2882057274	1	4	0	FALSE	880.75	1102.5	0.798866213152	B	coding	119	357	140	496	30.0
PB.2684.3	chr16	-	1204	1	genic_intron	novelGene_2	novel	NA	NA	NA	NA	no_subtype	FALSE	canonical	NA	NA	NA	NA	1	0	NA	FALSE	18.75	18.75	1.0	A	non_coding	NA	NA	NA	NA	80.0
PB.2684.2	chr16	-	1337	10	full-splice_match	Parl	ENSMUST00000048642	1348	10	-1	12	multi-exon	FALSE	canonical	4	238	985	226.384628453	47	1	0	FALSE	3026.48	4146.75	0.72984385362	C	coding	377	1131	62	1192	25.0
PB.2684.1	chr16	-	1245	11	novel_not_in_catalog	Parl	novel	NA	NA	NA	NA	shared_donors_acceptors	FALSE	non_canonical	0	0	47	299.07189771	1	0	0	TRUE	1120.27	4146.75	0.27015614638	C	coding	350	1050	44	1093	20.0
PB.2810.1	chr16	-	2575	9	incomplete-splice_match	Crybg3	ENSMUST00000044604	5231	19	2653	3	5prime_fragment	FALSE	canonical	0	0	537	3.46410161514	1	5	0	FALSE	92.0125	92.0125	1.0	A	coding	138	414	653	1066	20.0
PB.2859.1	chr16	-	2475	4	novel_not_in_catalog	A630089N07Rik	novel	NA	NA	NA	NA	shared_donors_acceptors	FALSE	canonical	4	35	103	15.1657508881	2	5	0	FALSE	407.3325	407.3325	1.0	A	coding	619	1857	101	1957	20.0
PB.2734.3	chr16	+	3313	8	novel_not_in_catalog	Fyttd1	novel	NA	NA	NA	NA	shared_donors_acceptors	FALSE	non_canonical	0	0	625	186.820769723	1	5	0	FALSE	1990.4075	5404.0	0.368321150999	C	coding	201	603	35	637	30.0
PB.2818.4	chr16	-	2976	6	novel_not_in_catalog	Hspa13	novel	NA	NA	NA	NA	shared_donors_acceptors	FALSE	non_canonical	0	0	814	145.282483459	1	7	1	TRUE	16.94	3517.995	0.00481524277323	C	coding	298	894	17	910	30.0
PB.2818.2	chr16	-	2691	3	novel_not_in_catalog	Hspa13	novel	NA	NA	NA	NA	shared_donors_acceptors	TRUE	non_canonical	1	1	50	193.0	2	0	0	TRUE	3.375	3517.995	0.000959353267984	C	non_coding	NA	NA	NA	NA	30.0
PB.2818.3	chr16	-	4101	6	full-splice_match	Hspa13	NR_027492	4162	6	55	6	multi-exon	FALSE	canonical	4	8	848	143.533968105	3	3	0	FALSE	1253.045	3517.995	0.356181575016	C	coding	256	768	17	784	30.0
PB.2818.1	chr16	-	4464	5	full-splice_match	Hspa13	NM_030201	4066	5	27	-425	multi-exon	FALSE	canonical	4	25	398	130.996183151	51	1	0	FALSE	2244.635	3517.995	0.638043828942	C	coding	471	1413	33	1445	50.0
PB.2855.1	chr16	+	5045	12	full-splice_match	Dyrk1a	ENSMUST00000119878	5759	12	497	217	multi-exon	FALSE	canonical	2	5	28	12.9614813968	2	6	0	FALSE	2126.25	2126.25	1.0	A	coding	763	2289	105	2393	20.0
